0, 58.0, 0
1, 42.0, 0
2, 77.0, 0
3, 64.0, 0
4, 72.0, 0
5, 175.0, 0
6, 63.0, 0
7, 171.0, 0
8, 97.0, 0
9, 48.0, 0
10, 72.0, 0
11, 200.0, 0
12, 105.0, 0
13, 146.0, 0
14, 40.0, 0
15, 77.0, 0
16, 25.0, 12
17, 9.0, 15
18, 9.0, 18
19, 9.0, 20
20, 9.0, 24
21, 9.0, 28
22, 10.0, 31
23, 8.0, 36
24, 8.0, 39
25, 8.0, 42
26, 8.0, 45
27, 9.0, 49
28, 11.0, 52
29, 10.0, 54
30, 9.0, 58
31, 28.0, 65
32, 76.0, 71
33, 137.0, 87
34, 8.0, 97
35, 10.0, 100
36, 13.0, 103
37, 18.0, 105
38, 18.0, 108
39, 9.0, 116
40, 10.0, 118
41, 8.0, 122
42, 9.0, 124
43, 8.0, 126
44, 10.0, 129
45, 9.0, 132
46, 9.0, 135
47, 11.0, 138
48, 12.0, 140
49, 10.0, 148
50, 9.0, 152
51, 10.0, 154
52, 10.0, 156
53, 9.0, 159
54, 10.0, 161
55, 8.0, 163
56, 10.0, 165
57, 13.0, 169
58, 13.0, 172
59, 95.0, 174
60, 13.0, 177
61, 11.0, 179
62, 13.0, 183
63, 28.0, 186
64, 10.0, 191
65, 9.0, 194
66, 9.0, 195
67, 12.0, 198
68, 10.0, 203
69, 10.0, 210
70, 10.0, 212
71, 8.0, 218
72, 8.0, 220
73, 76.0, 223
74, 18.0, 226
75, 9.0, 231
76, 9.0, 235
77, 9.0, 238
78, 11.0, 243
79, 11.0, 247
80, 9.0, 249
81, 16.0, 251
82, 45.0, 255
83, 21.0, 258
84, 27.0, 261
85, 12.0, 263
86, 11.0, 265
87, 10.0, 268
88, 9.0, 271
89, 12.0, 275
90, 10.0, 278
91, 9.0, 280
92, 9.0, 282
93, 9.0, 284
94, 15.0, 288
95, 11.0, 290
96, 10.0, 292
97, 10.0, 295
98, 18.0, 301
99, 9.0, 304
100, 11.0, 307
101, 10.0, 310
102, 9.0, 312
103, 10.0, 314
104, 13.0, 319
105, 9.0, 325
106, 9.0, 329
107, 13.0, 332
108, 9.0, 337
109, 28.0, 340
110, 37.0, 344
111, 23.0, 352
112, 9.0, 355
113, 13.0, 358
114, 40.0, 361
115, 11.0, 365
116, 10.0, 367
117, 61.0, 373
118, 10.0, 376
119, 10.0, 378
120, 10.0, 381
121, 11.0, 385
122, 11.0, 392
123, 12.0, 394
124, 9.0, 396
125, 8.0, 400
126, 16.0, 403
127, 22.0, 406
128, 9.0, 408
129, 48.0, 412
130, 17.0, 414
131, 9.0, 417
132, 21.0, 418
133, 10.0, 425
134, 10.0, 427
135, 9.0, 430
136, 21.0, 433
137, 11.0, 438
138, 10.0, 440
139, 9.0, 443
140, 8.0, 445
141, 10.0, 447
142, 17.0, 449
143, 10.0, 452
144, 10.0, 454
145, 11.0, 458
146, 9.0, 460
147, 9.0, 467
148, 9.0, 470
149, 10.0, 474
150, 9.0, 477
151, 9.0, 479
152, 9.0, 481
153, 9.0, 483
154, 10.0, 485
155, 9.0, 488
156, 10.0, 491
157, 13.0, 493
158, 9.0, 497
159, 10.0, 499
160, 10.0, 503
161, 9.0, 506
162, 11.0, 508
163, 10.0, 510
164, 9.0, 512
165, 9.0, 514
166, 10.0, 519
167, 9.0, 523
168, 9.0, 526
169, 11.0, 530
170, 10.0, 535
171, 10.0, 537
172, 9.0, 538
173, 15.0, 542
174, 22.0, 545
175, 10.0, 548
176, 10.0, 551
177, 12.0, 556
178, 10.0, 559
179, 10.0, 567
180, 9.0, 571
181, 10.0, 573
182, 10.0, 575
183, 10.0, 581
184, 11.0, 584
185, 10.0, 588
186, 9.0, 590
187, 10.0, 593
188, 9.0, 595
189, 11.0, 597
190, 21.0, 600
191, 14.0, 603
192, 9.0, 607
193, 11.0, 609
194, 9.0, 612
195, 9.0, 615
196, 10.0, 617
197, 9.0, 619
198, 10.0, 622
199, 9.0, 625
200, 9.0, 635
201, 10.0, 638
202, 10.0, 641
203, 10.0, 645
204, 10.0, 650
205, 61.0, 656
206, 10.0, 659
207, 10.0, 663
208, 10.0, 665
209, 8.0, 667
210, 10.0, 670
211, 10.0, 673
212, 9.0, 675
213, 10.0, 678
214, 9.0, 680
215, 10.0, 682
216, 10.0, 685
217, 10.0, 687
218, 8.0, 692
219, 9.0, 696
220, 10.0, 698
221, 10.0, 700
222, 9.0, 702
223, 10.0, 704
224, 11.0, 706
225, 9.0, 708
226, 9.0, 711
227, 10.0, 714
228, 10.0, 716
229, 10.0, 718
230, 8.0, 720
231, 9.0, 722
232, 11.0, 724
233, 10.0, 730
234, 10.0, 733
235, 10.0, 736
236, 10.0, 739
237, 8.0, 748
238, 9.0, 750
239, 9.0, 752
240, 10.0, 755
241, 10.0, 758
242, 12.0, 763
243, 12.0, 765
244, 11.0, 769
245, 10.0, 771
246, 10.0, 775
247, 9.0, 777
248, 10.0, 779
249, 9.0, 782
250, 56.0, 784
251, 9.0, 787
252, 11.0, 791
253, 10.0, 793
254, 10.0, 795
255, 9.0, 802
256, 16.0, 807
257, 11.0, 810
258, 9.0, 812
259, 10.0, 814
260, 15.0, 817
261, 9.0, 821
262, 9.0, 823
263, 8.0, 825
264, 9.0, 827
265, 8.0, 831
266, 10.0, 837
267, 9.0, 839
268, 22.0, 841
269, 12.0, 854
270, 12.0, 857
271, 44.0, 861
272, 9.0, 864
273, 9.0, 868
274, 8.0, 871
275, 9.0, 875
276, 9.0, 878
277, 9.0, 880
278, 12.0, 882
279, 10.0, 884
280, 12.0, 886
281, 9.0, 891
282, 10.0, 894
283, 8.0, 897
284, 10.0, 900
285, 9.0, 904
286, 16.0, 906
287, 10.0, 909
288, 10.0, 912
289, 74.0, 916
